raw_symptoms,symptom_categories,body_parts_affected,severity_indicators,temporal_indicators,symptom_descriptions,symptom_count,has_multiple_symptoms,urgency_score,listed_symptoms,case_id,species,age
"['breath', 'scratch', 'scratching']","['respiratory', 'dermatological']","['ears', 'ear']",['mild'],[],['just started ago'],3,True,1.5,"['dental cleaning inquiry', 'weight management consultation', 'bad breath', 'mild scratching']",1,dog,17.8
"['scratch', 'scratching', 'urinate']","['dermatological', 'urinary']",['nail'],['mild'],['yesterday'],['trimming needed'],3,True,1.5,"['diet advice needed', 'nail trimming needed', 'mild scratching', 'vaccination due', 'unable to urinate']",2,rabbit,9.9
"['drool', 'drooling', 'eye', 'discharge', 'squint', 'squinting']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],['yesterday'],['we come immediately'],6,True,3.0,"['eye discharge with squinting', 'difficulty swallowing', 'excessive drooling']",3,rabbit,1.2
"['sneezing', 'diarrhea', 'lethargy']","['respiratory', 'gastrointestinal', 'behavioral']",['ear'],[],['today'],['hamster experiencing diarrhea'],3,True,1.5,"['diarrhea', 'lethargy', 'sneezing']",4,hamster,1.1
"['sneezing', 'vomit', 'vomiting', 'drinking']","['respiratory', 'gastrointestinal']",['ear'],[],[],"['dog experiencing', 'just started ago']",4,True,2.0,"['drinking more water than usual', 'vomiting', 'sneezing']",5,dog,6.1
"['pant', 'panting', 'limp', 'limping', 'eye', 'discharge', 'squint', 'squinting', 'behavior']","['respiratory', 'musculoskeletal', 'ocular', 'behavioral']","['ears', 'ear', 'eye']",['severe'],['days'],['going for'],9,True,5.0,"['eye discharge with squinting', 'limping severely', 'excessive panting', 'behavioral consultation']",6,cat,12.2
"['scratch', 'scratching', 'eye', 'discharge']","['dermatological', 'ocular']",['eye'],[],[],"['just started ago', 'advise urgency']",4,True,2.0,"['minor eye discharge', 'excessive scratching']",7,dog,12.7
"['hair', 'urinating', 'frequent']","['dermatological', 'urinary']",[],[],[],['we come immediately'],3,True,1.5,['urinating more frequently'],8,cat,15.4
['discharge'],['ocular'],"['ears', 'ear']",[],['days'],"['going for', 'advise urgency']",1,False,0.5,['ear discharge'],9,cat,17.3
"['swollen', 'swollen', 'behavior']","['musculoskeletal', 'ocular', 'behavioral']",[],[],['days'],[],3,True,1.5,"['swollen face', 'difficulty swallowing', 'sudden behavior change']",10,dog,14.3
['red'],['ocular'],"['ears', 'ear']",[],[],[],1,False,0.5,"['grooming required', 'routine checkup']",11,cat,14.7
"['breath', 'sneezing']",['respiratory'],['ear'],[],['yesterday'],['pig experiencing breath'],2,True,1.0,"['sneezing', 'bad breath']",12,guinea pig,14.7
"['urinating', 'frequent']",['urinary'],"['ears', 'ear']",[],['today'],['advise urgency'],2,True,1.0,['urinating more frequently'],13,cat,0.8
['behavior'],['behavioral'],"['ears', 'ear']",[],['days'],['going for'],1,False,0.5,"['vaccination due', 'behavioral consultation', 'dental cleaning inquiry']",14,hamster,12.9
"['vomit', 'vomiting']",['gastrointestinal'],[],[],['days'],[],2,True,1.0,['vomiting blood'],15,bird,2.8
"['vomit', 'vomiting', 'scratch', 'scratching', 'lethargy']","['gastrointestinal', 'dermatological', 'behavioral']","['ears', 'ear']",[],['yesterday'],['ragdoll cat with'],5,True,2.5,"['excessive scratching', 'vomiting', 'lethargy']",16,cat,12.1
['appetite'],['gastrointestinal'],"['ears', 'ear']",[],['days'],[],1,False,0.5,"['loss of appetite', 'dental cleaning inquiry']",17,bird,6.5
"['sneezing', 'drinking']","['respiratory', 'gastrointestinal']",[],[],[],"['just started ago', 'advise urgency']",2,True,1.0,"['sneezing', 'drinking more water than usual']",18,dog,2.1
"['limp', 'limping', 'swollen', 'swollen', 'behavior']","['musculoskeletal', 'ocular', 'behavioral']",['ear'],['severe'],[],['bird experiencing'],5,True,3.75,"['limping severely', 'swollen face', 'sudden behavior change']",19,bird,2.4
[],[],"['nail', 'ears', 'ear']",[],[],['just started ago'],0,False,0.0,"['nail trimming needed', 'vaccination due']",20,guinea pig,6.9
"['drinking', 'limp', 'limping', 'scratch', 'scratching', 'eye', 'discharge']","['gastrointestinal', 'musculoskeletal', 'dermatological', 'ocular']",['eye'],[],[],[],7,True,3.5,"['minor eye discharge', 'minor limping', 'drinking more water than usual', 'excessive scratching']",21,bird,12.7
"['seizure', 'scratch', 'scratching', 'behavior']","['neurological', 'dermatological', 'behavioral']",['ear'],['mild'],['days'],['pig experiencing scratching'],4,True,3.5,"['mild scratching', 'behavioral consultation', 'seizures']",22,guinea pig,1.6
"['appetite', 'drinking', 'lethargy']","['gastrointestinal', 'behavioral']",[],[],[],[],3,True,1.5,"['drinking more water than usual', 'lethargy', 'loss of appetite']",23,cat,18.4
"['cough', 'coughing', 'vomit', 'vomiting', 'appetite', 'eye', 'discharge']","['respiratory', 'gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",['mild'],['today'],[],7,True,3.5,"['loss of appetite', 'minor eye discharge', 'mild coughing', 'vomiting', 'routine checkup']",24,dog,18.8
"['diarrhea', 'lethargy']","['gastrointestinal', 'behavioral']","['ears', 'ear']",[],['yesterday'],[],2,True,1.0,"['diarrhea', 'lethargy']",25,guinea pig,1.1
['diarrhea'],['gastrointestinal'],[],[],['yesterday'],[],1,False,0.5,['diarrhea'],26,guinea pig,4.1
"['scratch', 'scratching', 'red', 'behavior']","['dermatological', 'ocular', 'behavioral']",[],['mild'],[],[],4,True,2.0,"['mild scratching', 'vaccination due', 'behavioral consultation', 'grooming required']",27,cat,19.3
"['sneezing', 'eye', 'discharge', 'behavior']","['respiratory', 'ocular', 'behavioral']","['ear', 'eye']",[],['yesterday'],['pig experiencing discharge'],4,True,2.0,"['minor eye discharge', 'sneezing', 'sudden behavior change']",28,guinea pig,1.1
"['sneezing', 'limp', 'limping']","['respiratory', 'musculoskeletal']",['ear'],[],['days'],"['pig experiencing', 'going for']",3,True,1.5,"['sneezing', 'minor limping']",29,guinea pig,5.1
['red'],['ocular'],['ear'],[],['days'],"['cat experiencing inquiry', 'going for']",1,False,0.5,"['dental cleaning inquiry', 'grooming required']",30,cat,6.3
['behavior'],['behavioral'],['ear'],[],[],"['rabbit experiencing inquiry', 'just started ago', 'we come immediately']",1,False,0.5,"['dental cleaning inquiry', 'diet advice needed', 'behavioral consultation']",31,rabbit,3.0
[],[],"['ears', 'ear']",[],['days'],['going for'],0,False,0.0,['dental cleaning inquiry'],32,hamster,2.3
"['drinking', 'scratch', 'scratching', 'red', 'behavior']","['gastrointestinal', 'dermatological', 'ocular', 'behavioral']",['ear'],['mild'],[],"['cat experiencing consultation', 'advise urgency']",5,True,2.5,"['mild scratching', 'vaccination due', 'grooming required', 'behavioral consultation', 'drinking more water than usual']",33,cat,17.6
['behavior'],['behavioral'],[],[],['days'],['going for'],1,False,0.5,['behavioral consultation'],34,guinea pig,3.7
"['scratch', 'scratching']",['dermatological'],[],['mild'],[],[],2,True,1.0,"['mild scratching', 'diet advice needed', 'weight management consultation']",35,rabbit,1.4
"['diarrhea', 'limp', 'limping', 'behavior']","['gastrointestinal', 'musculoskeletal', 'behavioral']","['ears', 'ear']",['severe'],['days'],['going for'],4,True,3.0,"['bloody diarrhea', 'limping severely', 'difficulty swallowing', 'sudden behavior change']",36,rabbit,5.9
['sneezing'],['respiratory'],[],[],['days'],['going for'],1,False,0.5,['sneezing'],37,bird,13.8
[],[],[],[],['days'],"['going for', 'advise urgency']",0,False,0.0,['diet advice needed'],38,hamster,8.4
"['pant', 'panting', 'diarrhea', 'behavior']","['respiratory', 'gastrointestinal', 'behavioral']","['ears', 'ear']",[],['today'],[],4,True,2.0,"['bloody diarrhea', 'excessive panting', 'difficulty swallowing', 'sudden behavior change']",39,hamster,8.9
"['breath', 'red']","['respiratory', 'ocular']","['ears', 'ear']",[],['today'],['we come immediately'],2,True,1.0,"['routine checkup', 'bad breath', 'grooming required']",40,rabbit,10.2
"['breath', 'behavior']","['respiratory', 'behavioral']","['ears', 'ear']",[],['today'],[],2,True,1.0,"['weight management consultation', 'behavioral consultation', 'routine checkup', 'bad breath']",41,hamster,2.1
"['diarrhea', 'drinking', 'scratch', 'scratching', 'discharge']","['gastrointestinal', 'dermatological', 'ocular']",['ear'],[],['days'],[],5,True,2.5,"['excessive scratching', 'ear discharge', 'drinking more water than usual', 'diarrhea']",42,dog,0.3
"['breath', 'behavior']","['respiratory', 'behavioral']","['ears', 'ear']",[],['today'],[],2,True,1.0,"['routine checkup', 'bad breath', 'behavioral consultation', 'heatstroke symptoms']",43,hamster,8.5
"['breath', 'paralysis']","['respiratory', 'neurological']",['ear'],[],['yesterday'],['rabbit experiencing paralysis'],2,True,2.5,"['bad breath', 'paralysis']",44,rabbit,1.2
[],[],['ear'],['severe'],['days'],['rabbit experiencing reaction'],0,False,0.0,"['vaccination due', 'severe allergic reaction']",45,rabbit,3.0
['behavior'],['behavioral'],"['ears', 'ear']",[],['days'],[],1,False,0.5,"['routine checkup', 'vaccination due', 'behavioral consultation', 'sudden behavior change']",46,bird,11.1
"['cough', 'coughing', 'diarrhea']","['respiratory', 'gastrointestinal']","['ears', 'ear']",[],['days'],[],3,True,1.5,"['persistent coughing', 'bloody diarrhea']",47,rabbit,1.3
"['diarrhea', 'behavior']","['gastrointestinal', 'behavioral']",[],[],[],['just started ago'],2,True,1.0,"['behavioral consultation', 'diarrhea']",48,rabbit,13.9
['behavior'],['behavioral'],['ear'],[],[],['pig experiencing consultation'],1,False,0.5,['behavioral consultation'],49,guinea pig,2.0
"['sneezing', 'appetite', 'discharge', 'urinate']","['respiratory', 'gastrointestinal', 'ocular', 'urinary']",['ear'],[],['today'],['rabbit experiencing'],4,True,2.0,"['sneezing', 'ear discharge', 'loss of appetite', 'unable to urinate']",50,rabbit,6.8
['lethargy'],['behavioral'],[],[],['yesterday'],['advise urgency'],1,False,0.5,['lethargy'],51,hamster,7.3
"['breath', 'behavior']","['respiratory', 'behavioral']","['ears', 'ear']",[],['today'],['we come immediately'],2,True,1.0,"['bad breath', 'behavioral consultation']",52,hamster,13.6
"['breathing', 'breath', 'scratch', 'scratching']","['respiratory', 'dermatological']","['ears', 'ear']",['mild'],[],['we come immediately'],4,True,3.5,"['mild scratching', 'difficulty breathing']",53,bird,1.6
"['scratch', 'scratching']",['dermatological'],['ear'],[],[],"['hamster experiencing scratching', 'just started ago']",2,True,1.0,['excessive scratching'],54,hamster,1.5
"['pant', 'panting', 'red']","['respiratory', 'ocular']","['ears', 'ear']",[],['today'],[],3,True,1.5,"['grooming required', 'excessive panting']",55,hamster,11.0
"['sneezing', 'red']","['respiratory', 'ocular']","['nail', 'ears', 'ear']",[],[],"['hamster trimming needed', 'just started ago']",2,True,1.0,"['grooming required', 'nail trimming needed', 'sneezing']",56,hamster,1.5
"['cough', 'coughing', 'appetite', 'drinking', 'urinating', 'frequent']","['respiratory', 'gastrointestinal', 'urinary']","['ears', 'ear']",['mild'],['yesterday'],[],6,True,3.0,"['urinating more frequently', 'mild coughing', 'loss of appetite', 'drinking more water than usual']",57,hamster,10.6
