case_id,timestamp,species,breed,age_years,age_category,weight_kg,symptoms,description,urgency_level,urgency_score,wait_time_minutes,requires_immediate_attention,follow_up_required,previous_conditions,symptom_0,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,symptom_18,symptom_19,symptom_20,symptom_21,symptom_22,symptom_23,symptom_24,symptom_25,symptom_26,symptom_27,symptom_28,symptom_29,symptom_30,symptom_31,symptom_32,symptom_33,symptom_34,symptom_35,symptom_36,symptom_37,symptom_38,symptom_39,symptom_40,symptom_41,symptom_42,symptom_43,symptom_44,symptom_45,symptom_46,text_length,exclamation_count,question_count,critical_keyword_count,urgent_keyword_count,moderate_keyword_count,low_keyword_count,urgency_words,species_encoded,urgency_numeric,age_category_encoded
1,2025-06-08T11:53:03.879963,rabbit,mixed,-0.9949460782186313,young,-0.42087766338084975,"['vomiting', 'mild coughing', 'excessive scratching']","Patient is a mixed rabbit, 1.6 years old, presenting with vomiting, mild coughing, excessive scratching. Just started an hour ago. Seems to be getting worse.",moderate,3,-0.5047800655836694,False,True,"['allergies', 'arthritis', 'ear infections']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,0,0,0,1,3,0,0,5,2,1
2,2025-06-16T11:53:03.879999,hamster,mixed,-0.22611819462540947,adult,-0.5736369417150312,['drinking more water than usual'],My 5.5 year old mixed hamster has been experiencing drinking more water than usual. Symptoms for the past week. Is this an emergency?,moderate,2,0.7596806943771653,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,1,0,0,0,0,1,4,2,2
3,2024-09-21T11:53:03.880013,hamster,mixed,1.212969895177288,senior,-0.5736369417150312,['seizures'],"Patient is a mixed hamster, 12.8 years old, presenting with seizures. Started today. Is this an emergency?",critical,5,-1.0911966499133319,True,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,1,1,0,0,0,1,4,4,4
4,2024-08-29T11:53:03.880025,cat,British Shorthair,-0.8175242589278878,young,0.07265231277573678,['grooming required'],My 2.5 year old British Shorthair cat has been experiencing grooming required. Just started an hour ago. Pet is distressed.,low,2,-0.009991072555516647,False,False,"['eye problems', 'arthritis', 'dental disease']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,1,0,1,1,1
5,2025-07-25T11:53:03.880039,rabbit,mixed,-0.46268062034640084,adult,-0.3621240947907799,"['ear discharge', 'loss of appetite', 'lethargy', 'excessive scratching']","mixed rabbit with ear discharge, loss of appetite, lethargy, excessive scratching. Age: 4.3 years. Has been going on for 2 days. Should we come in immediately?",moderate,2,-0.266548328199744,False,True,"['skin condition', 'thyroid issues']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,0,1,4,0,1,5,2,2
6,2025-04-15T11:53:03.880052,dog,Chihuahua,-0.8175242589278878,young,-0.35037338107276594,"['behavioral consultation', 'weight management consultation']","Concerned about my dog (Chihuahua, 2.5yo) showing signs of behavioral consultation, weight management consultation. Symptoms for the past week. Pet is distressed.",low,2,1.0162379500213927,False,False,['eye problems'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,0,0,0,0,0,1,0,2,1,1
7,2025-05-28T11:53:03.880063,bird,mixed,-0.9160919363116342,young,-0.5853876554330453,"['sudden behavior change', 'limping severely', 'swollen face']","mixed bird with sudden behavior change, limping severely, swollen face. Age: 2.0 years. Progressive over 3 days. Very worried.",urgent,4,-0.9445925038309162,True,False,"['thyroid issues', 'arthritis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,3,0,0,0,0,3,1
8,2024-12-02T11:53:03.880082,rabbit,mixed,0.20757958586307468,adult,-0.42087766338084975,['swollen face'],"Patient is a mixed rabbit, 7.7 years old, presenting with swollen face. Started today. Please advise urgency.",urgent,3,-0.8712904307897085,False,True,"['dental disease', 'hip dysplasia', 'eye problems']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,1,0,0,0,5,3,3
9,2024-10-04T11:53:03.880096,rabbit,mixed,-0.5021076912998994,adult,-0.31512123991872404,['excessive drooling'],mixed rabbit with excessive drooling. Age: 4.1 years. Started today. Please advise urgency.,urgent,3,-0.46812902906306547,False,False,['anxiety'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0,1,0,0,0,5,3,2
10,2025-04-08T11:53:03.880110,hamster,mixed,-0.9358054717883835,young,-0.5853876554330453,"['diet advice needed', 'eye injury with vision loss']","Concerned about my hamster (mixed, 1.9yo) showing signs of diet advice needed, eye injury with vision loss. Started today. Pet is distressed.",low,2,0.41149584743142825,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,1,0,4,1,1
