case_id,timestamp,species,breed,age_years,age_category,weight_kg,symptoms,description,urgency_level,urgency_score,wait_time_minutes,requires_immediate_attention,follow_up_required,previous_conditions
1,2025-06-08T11:53:03.879963,rabbit,mixed,1.6,young,1.5,"['vomiting', 'mild coughing', 'excessive scratching']","Patient is a mixed rabbit, 1.6 years old, presenting with vomiting, mild coughing, excessive scratching. Just started an hour ago. Seems to be getting worse.",moderate,3,35,False,True,"['allergies', 'arthritis', 'ear infections']"
2,2025-06-16T11:53:03.879999,hamster,mixed,5.5,adult,0.2,['drinking more water than usual'],My 5.5 year old mixed hamster has been experiencing drinking more water than usual. Symptoms for the past week. Is this an emergency?,moderate,2,104,False,True,[]
3,2024-09-21T11:53:03.880013,hamster,mixed,12.8,senior,0.2,['seizures'],"Patient is a mixed hamster, 12.8 years old, presenting with seizures. Started today. Is this an emergency?",critical,5,3,True,True,[]
4,2024-08-29T11:53:03.880025,cat,British Shorthair,2.5,young,5.7,['grooming required'],My 2.5 year old British Shorthair cat has been experiencing grooming required. Just started an hour ago. Pet is distressed.,low,2,62,False,False,"['eye problems', 'arthritis', 'dental disease']"
5,2025-07-25T11:53:03.880039,rabbit,mixed,4.3,adult,2.0,"['ear discharge', 'loss of appetite', 'lethargy', 'excessive scratching']","mixed rabbit with ear discharge, loss of appetite, lethargy, excessive scratching. Age: 4.3 years. Has been going on for 2 days. Should we come in immediately?",moderate,2,48,False,True,"['skin condition', 'thyroid issues']"
6,2025-04-15T11:53:03.880052,dog,Chihuahua,2.5,young,2.1,"['behavioral consultation', 'weight management consultation']","Concerned about my dog (Chihuahua, 2.5yo) showing signs of behavioral consultation, weight management consultation. Symptoms for the past week. Pet is distressed.",low,2,118,False,False,['eye problems']
7,2025-05-28T11:53:03.880063,bird,mixed,2.0,young,0.1,"['sudden behavior change', 'limping severely', 'swollen face']","mixed bird with sudden behavior change, limping severely, swollen face. Age: 2.0 years. Progressive over 3 days. Very worried.",urgent,4,11,True,False,"['thyroid issues', 'arthritis']"
8,2024-12-02T11:53:03.880082,rabbit,mixed,7.7,adult,1.5,['swollen face'],"Patient is a mixed rabbit, 7.7 years old, presenting with swollen face. Started today. Please advise urgency.",urgent,3,15,False,True,"['dental disease', 'hip dysplasia', 'eye problems']"
9,2024-10-04T11:53:03.880096,rabbit,mixed,4.1,adult,2.4,['excessive drooling'],mixed rabbit with excessive drooling. Age: 4.1 years. Started today. Please advise urgency.,urgent,3,37,False,False,['anxiety']
10,2025-04-08T11:53:03.880110,hamster,mixed,1.9,young,0.1,"['diet advice needed', 'eye injury with vision loss']","Concerned about my hamster (mixed, 1.9yo) showing signs of diet advice needed, eye injury with vision loss. Started today. Pet is distressed.",low,2,85,False,False,[]
11,2025-01-18T11:53:03.880120,cat,British Shorthair,12.3,senior,4.5,"['bad breath', 'behavioral consultation']","My 12.3 year old British Shorthair cat has been experiencing bad breath, behavioral consultation. Progressive over 3 days. Very worried.",low,2,88,False,True,[]
12,2025-01-28T11:53:03.880131,cat,Sphynx,0.1,kitten,2.6,"['minor limping', 'nail trimming needed']","My 0.1 year old Sphynx cat has been experiencing minor limping, nail trimming needed. Noticed yesterday. Very worried.",moderate,3,27,False,False,[]
13,2025-01-28T11:53:03.880140,dog,German Shepherd,16.5,geriatric,34.4,['lethargy'],German Shepherd dog with lethargy. Age: 16.5 years. Progressive over 3 days. Seems to be getting worse.,moderate,4,14,True,False,[]
14,2025-02-12T11:53:03.880149,cat,Siamese,1.2,young,3.8,['sneezing'],"Patient is a Siamese cat, 1.2 years old, presenting with sneezing. Just started an hour ago. Seems to be getting worse.",moderate,3,29,False,False,[]
15,2025-04-11T11:53:03.880158,guinea pig,mixed,1.8,young,0.7,"['ear discharge', 'diarrhea']","Concerned about my guinea pig (mixed, 1.8yo) showing signs of ear discharge, diarrhea. Progressive over 3 days. Should we come in immediately?",moderate,3,23,False,False,[]
16,2024-12-01T11:53:03.880169,bird,mixed,11.0,senior,0.2,"['nail trimming needed', 'mild scratching']","mixed bird with nail trimming needed, mild scratching. Age: 11.0 years. Has been going on for 2 days. Please advise urgency.",low,2,73,False,True,[]
17,2025-07-05T11:53:03.880178,rabbit,mixed,8.8,senior,1.6,"['ear discharge', 'urinating more frequently']","mixed rabbit with ear discharge, urinating more frequently. Age: 8.8 years. Started today. Very worried.",moderate,3,32,False,True,"['kidney disease', 'obesity', 'dental disease']"
18,2025-03-05T11:53:03.880190,cat,Russian Blue,12.2,senior,5.9,"['vaccination due', 'diet advice needed', 'routine checkup', 'severe trauma']","Russian Blue cat with vaccination due, diet advice needed, routine checkup, severe trauma. Age: 12.2 years. Progressive over 3 days. Please advise urgency.",low,2,51,False,True,[]
19,2025-06-01T11:53:03.880200,dog,Dachshund,15.8,geriatric,17.0,"['mild scratching', 'behavioral consultation', 'grooming required', 'routine checkup']","My 15.8 year old Dachshund dog has been experiencing mild scratching, behavioral consultation, grooming required, routine checkup. Symptoms for the past week. Should we come in immediately?",low,3,43,False,False,"['arthritis', 'ear infections', 'heart murmur']"
20,2024-12-16T11:53:03.880211,rabbit,mixed,9.4,senior,2.9,"['sudden behavior change', 'excessive drooling', 'eye discharge with squinting', 'urinating more frequently']","Patient is a mixed rabbit, 9.4 years old, presenting with sudden behavior change, excessive drooling, eye discharge with squinting, urinating more frequently. Progressive over 3 days. Very worried.",urgent,5,3,True,False,"['obesity', 'dental disease', 'anxiety']"
21,2025-01-21T11:53:03.880223,dog,German Shepherd,6.6,adult,37.7,"['excessive scratching', 'urinating more frequently', 'sneezing', 'drinking more water than usual']","My 6.6 year old German Shepherd dog has been experiencing excessive scratching, urinating more frequently, sneezing, drinking more water than usual. Has been going on for 2 days. Seems to be getting worse.",moderate,2,78,False,False,[]
22,2025-04-15T11:53:03.880233,cat,Siamese,15.6,geriatric,5.1,"['ear discharge', 'excessive drooling']","My 15.6 year old Siamese cat has been experiencing ear discharge, excessive drooling. Has been going on for 2 days. Pet is distressed.",moderate,4,5,True,False,['anxiety']
23,2025-03-15T11:53:03.880242,hamster,mixed,2.6,young,0.2,"['minor eye discharge', 'loss of appetite']","Patient is a mixed hamster, 2.6 years old, presenting with minor eye discharge, loss of appetite. Has been going on for 2 days. Please advise urgency.",moderate,3,26,False,True,[]
24,2024-12-01T11:53:03.880250,bird,mixed,1.5,young,0.3,"['persistent coughing', 'difficulty swallowing']","My 1.5 year old mixed bird has been experiencing persistent coughing, difficulty swallowing. Symptoms for the past week. Seems to be getting worse.",urgent,4,14,True,True,[]
25,2024-09-24T11:53:03.880258,hamster,mixed,2.8,young,0.1,"['sneezing', 'minor limping']","mixed hamster with sneezing, minor limping. Age: 2.8 years. Started today. Seems to be getting worse.",moderate,3,31,False,True,['arthritis']
26,2024-11-01T11:53:03.880266,cat,Russian Blue,2.8,young,4.3,"['diet advice needed', 'vaccination due', 'weight management consultation']","Patient is a Russian Blue cat, 2.8 years old, presenting with diet advice needed, vaccination due, weight management consultation. Started today. Pet is distressed.",low,2,112,False,True,"['kidney disease', 'eye problems', 'obesity']"
27,2024-12-15T11:53:03.880275,rabbit,mixed,4.0,adult,3.1,"['urinating more frequently', 'excessive scratching']","My 4.0 year old mixed rabbit has been experiencing urinating more frequently, excessive scratching. Progressive over 3 days. Should we come in immediately?",moderate,2,45,False,False,[]
28,2025-03-30T11:53:03.880283,hamster,mixed,13.1,senior,0.1,"['swollen face', 'difficulty swallowing', 'excessive panting', 'moderate bleeding']","Patient is a mixed hamster, 13.1 years old, presenting with swollen face, difficulty swallowing, excessive panting, moderate bleeding. Started today. Pet is distressed.",urgent,5,2,True,False,[]
29,2024-10-16T11:53:03.880295,dog,Chihuahua,0.1,puppy,3.0,"['sudden behavior change', 'difficulty defecating']","Patient is a Chihuahua dog, 0.1 years old, presenting with sudden behavior change, difficulty defecating. Just started an hour ago. Should we come in immediately?",urgent,4,8,True,True,[]
30,2025-04-17T11:53:03.880303,dog,Husky,8.6,senior,16.6,['mild scratching'],Husky dog with mild scratching. Age: 8.6 years. Started today. Should we come in immediately?,low,2,73,False,True,[]
31,2024-12-28T11:53:03.880310,bird,mixed,7.3,adult,0.5,"['mild coughing', 'loss of appetite']","Concerned about my bird (mixed, 7.3yo) showing signs of mild coughing, loss of appetite. Noticed yesterday. Is this an emergency?",moderate,2,56,False,False,"['skin condition', 'kidney disease']"
32,2025-05-08T11:53:03.880319,dog,Beagle,7.1,adult,22.7,"['paralysis', 'severe bleeding']","My 7.1 year old Beagle dog has been experiencing paralysis, severe bleeding. Just started an hour ago. Please advise urgency.",critical,4,8,True,True,[]
33,2025-04-14T11:53:03.880328,hamster,mixed,2.4,young,0.1,"['mild coughing', 'minor eye discharge', 'sneezing', 'excessive scratching', 'vomiting blood']","mixed hamster with mild coughing, minor eye discharge, sneezing, excessive scratching, vomiting blood. Age: 2.4 years. Started today. Please advise urgency.",moderate,3,36,False,False,[]
34,2025-03-08T11:53:03.880335,bird,mixed,2.5,young,0.2,['eye discharge with squinting'],mixed bird with eye discharge with squinting. Age: 2.5 years. Symptoms for the past week. Very worried.,urgent,4,12,True,True,['kidney disease']
35,2025-02-16T11:53:03.880345,rabbit,mixed,8.9,senior,2.9,"['vaccination due', 'diet advice needed', 'routine checkup', 'mild scratching', 'excessive panting']","Patient is a mixed rabbit, 8.9 years old, presenting with vaccination due, diet advice needed, routine checkup, mild scratching, excessive panting. Progressive over 3 days. Very worried.",low,2,107,False,False,[]
36,2025-01-27T11:53:03.880353,bird,mixed,12.2,senior,0.3,"['lethargy', 'minor eye discharge', 'sneezing']","Concerned about my bird (mixed, 12.2yo) showing signs of lethargy, minor eye discharge, sneezing. Symptoms for the past week. Is this an emergency?",moderate,3,16,False,True,[]
37,2024-09-28T11:53:03.880360,bird,mixed,2.7,young,0.4,"['sneezing', 'urinating more frequently', 'ear discharge']","mixed bird with sneezing, urinating more frequently, ear discharge. Age: 2.7 years. Just started an hour ago. Seems to be getting worse.",moderate,3,40,False,False,[]
38,2024-11-22T11:53:03.880368,guinea pig,mixed,1.7,young,0.6,"['diarrhea', 'minor eye discharge', 'mild coughing']","mixed guinea pig with diarrhea, minor eye discharge, mild coughing. Age: 1.7 years. Progressive over 3 days. Pet is distressed.",moderate,3,30,False,True,['eye problems']
39,2025-02-07T11:53:03.880376,dog,Pug,16.1,geriatric,14.8,['bad breath'],My 16.1 year old Pug dog has been experiencing bad breath. Symptoms for the past week. Seems to be getting worse.,low,3,39,False,False,[]
40,2024-09-29T11:53:03.880384,dog,Golden Retriever,18.3,geriatric,31.8,"['swollen face', 'difficulty swallowing']","Patient is a Golden Retriever dog, 18.3 years old, presenting with swollen face, difficulty swallowing. Noticed yesterday. Pet is distressed.",urgent,5,3,True,False,[]
41,2025-04-28T11:53:03.880392,rabbit,mixed,8.0,adult,2.3,"['mild scratching', 'urinating more frequently']","mixed rabbit with mild scratching, urinating more frequently. Age: 8.0 years. Started today. Please advise urgency.",low,1,156,False,False,"['allergies', 'eye problems']"
42,2025-01-19T11:53:03.880401,guinea pig,mixed,3.7,adult,0.7,"['weight management consultation', 'excessive drooling']","mixed guinea pig with weight management consultation, excessive drooling. Age: 3.7 years. Noticed yesterday. Seems to be getting worse.",low,1,191,False,False,[]
43,2024-10-21T11:53:03.880408,dog,Husky,0.0,puppy,11.6,['ear discharge'],"Patient is a Husky dog, 0.0 years old, presenting with ear discharge. Just started an hour ago. Should we come in immediately?",moderate,3,40,False,True,[]
44,2024-09-25T11:53:03.880416,bird,mixed,13.5,senior,0.1,['grooming required'],"Patient is a mixed bird, 13.5 years old, presenting with grooming required. Started today. Very worried.",low,2,94,False,True,"['skin condition', 'kidney disease']"
45,2025-02-26T11:53:03.880424,bird,mixed,6.1,adult,0.1,"['diet advice needed', 'grooming required']","My 6.1 year old mixed bird has been experiencing diet advice needed, grooming required. Just started an hour ago. Very worried.",low,1,184,False,False,[]
46,2025-05-14T11:53:03.880432,hamster,mixed,14.1,senior,0.2,"['difficulty defecating', 'bloody diarrhea', 'eye discharge with squinting', 'behavioral consultation']","mixed hamster with difficulty defecating, bloody diarrhea, eye discharge with squinting, behavioral consultation. Age: 14.1 years. Just started an hour ago. Please advise urgency.",urgent,5,3,True,True,['ear infections']
47,2025-01-26T11:53:03.880442,cat,Abyssinian,0.2,kitten,2.0,"['vaccination due', 'weight management consultation', 'nail trimming needed', 'eye injury with vision loss']","Patient is a Abyssinian cat, 0.2 years old, presenting with vaccination due, weight management consultation, nail trimming needed, eye injury with vision loss. Has been going on for 2 days. Should we come in immediately?",low,2,73,False,True,[]
48,2025-06-16T11:53:03.880451,hamster,mixed,10.5,senior,0.2,"['nail trimming needed', 'weight management consultation', 'pale gums']","mixed hamster with nail trimming needed, weight management consultation, pale gums. Age: 10.5 years. Has been going on for 2 days. Seems to be getting worse.",low,2,115,False,False,"['cancer remission', 'hip dysplasia', 'ear infections']"
49,2025-06-14T11:53:03.880460,cat,Bengal,0.9,kitten,2.0,"['vaccination due', 'nail trimming needed', 'routine checkup', 'grooming required']","Concerned about my cat (Bengal, 0.9yo) showing signs of vaccination due, nail trimming needed, routine checkup, grooming required. Symptoms for the past week. Very worried.",low,2,80,False,False,['heart murmur']
